add-m,1,10000,20000,492986,24,0
add-m,2,10000,40000,1285394,32,0
add-m,4,10000,80000,7719263,96,0
add-m,8,10000,160000,13308747,83,0
add-m,12,10000,240000,19617707,81,0
add-s,1,10000,20000,260014,13,0
add-s,2,10000,40000,2056574,51,0
add-s,4,10000,80000,13089195,163,0
add-s,8,10000,160000,34093096,213,0
add-s,12,10000,240000,92665875,386,0
list-none-m,1,1000,1,3000,8724492,2908,23170
list-none-m,2,1000,1,6000,40551585,6758,4106411
list-none-m,4,1000,1,12000,158056220,13171,24515818
list-none-m,8,1000,1,24000,607905148,25329,107384809
list-none-m,12,1000,1,36000,1285710711,35714,218974247
list-none-m,16,1000,1,48000,1670633881,34804,282546277
list-none-m,24,1000,1,72000,5235612723,72716,918517567
list-none-s,1,1000,1,3000,8690893,2896,22341
list-none-s,2,1000,1,6000,40081654,6680,3805297
list-none-s,4,1000,1,12000,207128974,17260,32164404
list-none-s,8,1000,1,24000,656793699,27366,113821344
list-none-s,12,1000,1,36000,1607787167,44660,307765034
list-none-s,16,1000,1,48000,2561691347,53368,456312157
list-none-s,24,1000,1,72000,6514098113,90473,1187770590
